;"(deg C) Maximum Temperature (TerraClimate) at Ecuador, Jan 2010 to Dec 2024"
"2010-01-01";27,4107
"2010-02-01";27,3339
"2010-03-01";26,3916
"2010-04-01";26,2249
"2010-05-01";25,9295
"2010-06-01";24,6319
"2010-07-01";24,6405
"2010-08-01";24,8375
"2010-09-01";25,1618
"2010-10-01";25,4973
"2010-11-01";24,8594
"2010-12-01";24,9059
"2011-01-01";25,5291
"2011-02-01";25,2824
"2011-03-01";25,0943
"2011-04-01";25,9806
"2011-05-01";25,7027
"2011-06-01";25,1752
"2011-07-01";24,9626
"2011-08-01";25,5234
"2011-09-01";25,5376
"2011-10-01";25,0532
"2011-11-01";25,1386
"2011-12-01";25,6365
"2012-01-01";24,9005
"2012-02-01";24,8951
"2012-03-01";25,5403
"2012-04-01";26,0885
"2012-05-01";25,5552
"2012-06-01";25,3921
"2012-07-01";25,3381
"2012-08-01";25,3833
"2012-09-01";25,7449
"2012-10-01";25,729
"2012-11-01";26,0159
"2012-12-01";25,7125
"2013-01-01";26,0609
"2013-02-01";24,9523
"2013-03-01";25,4562
"2013-04-01";25,8837
"2013-05-01";24,7956
"2013-06-01";24,4585
"2013-07-01";24,1346
"2013-08-01";25,1144
"2013-09-01";25,9337
"2013-10-01";25,8987
"2013-11-01";25,6477
"2013-12-01";25,9096
"2014-01-01";25,7649
"2014-02-01";25,4921
"2014-03-01";25,4875
"2014-04-01";25,9315
"2014-05-01";26,0659
"2014-06-01";25,4606
"2014-07-01";25,1757
"2014-08-01";25,78
"2014-09-01";26,3223
"2014-10-01";26,0978
"2014-11-01";26,1691
"2014-12-01";26,4461
"2015-01-01";25,9832
"2015-02-01";25,6558
"2015-03-01";25,5185
"2015-04-01";26,3943
"2015-05-01";26,5466
"2015-06-01";25,4179
"2015-07-01";25,2273
"2015-08-01";26,3506
"2015-09-01";27,2197
"2015-10-01";27,3232
"2015-11-01";26,8541
"2015-12-01";27,7122
"2016-01-01";27,2809
"2016-02-01";26,6385
"2016-03-01";26,491
"2016-04-01";26,6634
"2016-05-01";26,1699
"2016-06-01";25,0868
"2016-07-01";24,988
"2016-08-01";25,6274
"2016-09-01";25,6681
"2016-10-01";25,9513
"2016-11-01";25,9961
"2016-12-01";26,0641
"2017-01-01";25,9795
"2017-02-01";26,3001
"2017-03-01";26,2259
"2017-04-01";26,6434
"2017-05-01";26,0374
"2017-06-01";24,9553
"2017-07-01";24,6064
"2017-08-01";24,7333
"2017-09-01";24,6308
"2017-10-01";24,0375
"2017-11-01";25,2384
"2017-12-01";25,8688
"2018-01-01";25,549
"2018-02-01";25,7773
"2018-03-01";25,9994
"2018-04-01";25,7741
"2018-05-01";26,1026
"2018-06-01";24,7714
"2018-07-01";24,7143
"2018-08-01";24,8974
"2018-09-01";25,7042
"2018-10-01";25,6792
"2018-11-01";26,1273
"2018-12-01";26,5958
"2019-01-01";26,2478
"2019-02-01";26,8581
"2019-03-01";26,7442
"2019-04-01";26,9498
"2019-05-01";26,5639
"2019-06-01";25,5719
"2019-07-01";25,2837
"2019-08-01";25,2771
"2019-09-01";26,1332
"2019-10-01";25,9177
"2019-11-01";26,7155
"2019-12-01";26,7643
"2020-01-01";26,8829
"2020-02-01";27,2257
"2020-03-01";26,7715
"2020-04-01";26,6718
"2020-05-01";26,3762
"2020-06-01";25,62
"2020-07-01";25,155
"2020-08-01";25,7463
"2020-09-01";26,0832
"2020-10-01";26,2431
"2020-11-01";26,5563
"2020-12-01";26,4066
"2021-01-01";26,0965
"2021-02-01";26,7415
"2021-03-01";25,762
"2021-04-01";26,1904
"2021-05-01";25,7639
"2021-06-01";25,249
"2021-07-01";25,0287
"2021-08-01";25,7719
"2021-09-01";26,1359
"2021-10-01";26,249
"2021-11-01";26,4708
"2021-12-01";26,7388
"2022-01-01";26,2021
"2022-02-01";25,9418
"2022-03-01";25,6589
"2022-04-01";26,2001
"2022-05-01";25,4736
"2022-06-01";24,6441
"2022-07-01";24,8364
"2022-08-01";25,3155
"2022-09-01";26,0006
"2022-10-01";25,7912
"2022-11-01";25,9267
"2022-12-01";26,3237
"2023-01-01";25,8432
"2023-02-01";26,2786
"2023-03-01";25,7915
"2023-04-01";26,444
"2023-05-01";26,7526
"2023-06-01";25,8929
"2023-07-01";26,1375
"2023-08-01";26,7932
"2023-09-01";27,196
"2023-10-01";27,2607
"2023-11-01";27,2086
"2023-12-01";27,0154
"2024-01-01";27,0956
"2024-02-01";27,1584
"2024-03-01";26,9285
"2024-04-01";27,2941
"2024-05-01";26,8417
"2024-06-01";25,9331
"2024-07-01";25,5753
"2024-08-01";26,0315
"2024-09-01";26,701
"2024-10-01";26,7759
"2024-11-01";26,541
"2024-12-01";26,6272
